GLIMMER (ver. 3.02; iterated)  predictions:
 orfID      start     end  frame  score
--------    -----    -----  --    -----
>gi|50196905|ref|NC_007530.2| Bacillus anthracis str. 'Ames Ancestor', complete genome
orf00001      407     1747  +2     7.44
orf00002     1926     3065  +3     8.33
orf00003     3193     3405  +1     9.86
orf00005     3418     4545  +1     7.34
orf00006     4584     6506  +3    10.39
orf00008     6595     9066  +1     9.86
orf00009    11702    11271  -3    12.79
orf00010    15297    14353  -1     2.97
orf00011    15468    16931  +3    12.24
orf00012    17036    18352  +2    12.25
orf00013    18514    19401  +1    15.07
orf00014    19420    20010  +1    15.06
orf00015    20338    21612  +1    12.13
orf00016    22028    22420  +2     8.77
orf00017    23124    22456  -1     7.64
orf00018    23762    23127  -3     5.27
orf00019    24427    23888  -2     3.93
orf00021    24535    25035  +1     9.07
orf00023    25512    27200  +3     7.52
orf00024    27223    27552  +1    18.23
orf00025    27567    28163  +3    11.07
orf00026    28178    28399  +2     9.25
orf00029    28614    28883  +3     4.88
orf00030    31496    31065  -3    12.79
orf00031    34303    34482  +1     6.62
orf00032    34554    35975  +3     7.65
orf00033    35977    36603  +1    10.58
orf00034    36639    37622  +3     6.62
orf00035    37628    38455  +2     7.45
orf00036    38470    38820  +1     9.56
orf00037    38941    39681  +1     9.07
orf00038    39668    39958  +2     3.57
orf00039    39927    40802  +3     9.97
orf00040    41107    40823  -2    13.45
orf00042    41598    43580  +3    10.81
orf00043    43746    44513  +3    13.05
orf00044    44728    45285  +1    11.98
orf00045    45282    46160  +3    12.32
orf00046    46271    47134  +2     6.63
orf00047    47373    47633  +3     8.05
orf00048    47725    47904  +1    13.39
orf00049    48101    48970  +2     9.65
orf00050    49025    49873  +2     9.48
orf00051    49860    49979  +3     0.30
orf00053    49996    50370  +1    12.96
orf00054    50523    50816  +3    10.56
orf00055    51139    52518  +1    10.18
orf00056    52537    53490  +1     8.37
orf00057    53500    54123  +1     8.52
orf00058    54194    54418  +2     5.86
orf00059    54524    58054  +2     9.10
orf00060    58190    58726  +2     9.33
orf00061    58957    60558  +1     7.16
orf00062    60571    62031  +1    10.44
orf00063    62046    62321  +3    12.43
orf00064    62380    62688  +1     7.88
orf00065    62721    63338  +3     3.26
orf00066    63335    63694  +2     6.26
orf00067    63782    64264  +2    10.52
orf00068    64843    67314  +1     7.34
orf00070    67548    68978  +3     3.26
orf00071    68975    69517  +2    10.94
orf00072    69603    71504  +3     9.90
orf00073    71729    72517  +2     9.86
orf00074    72524    73399  +2    11.51
orf00075    73504    74427  +1    12.31
orf00076    74648    76045  +2     9.13
orf00077    76051    76638  +1     7.28
orf00078    76632    77504  +3     6.35
orf00079    77506    78339  +1     9.59
orf00080    78340    78702  +1     6.50
orf00081    78699    79214  +3     6.07
orf00082    79166    79369  +2     8.22
orf00083    79393    80391  +1    11.23
orf00084    80551    82050  +1    11.83
orf00085    84591    84160  -1    12.84
orf00086    87415    87876  +1     4.62
orf00087    88050    88598  +3     5.81
orf00088    88603    89667  +1     5.08
orf00089    89690    92125  +2    13.19
orf00090    92222    93598  +2     7.88
orf00091    93602    94675  +2     7.31
orf00092    94836    95945  +3     9.21
orf00093    95962    96642  +1    10.26
orf00095    96757    97233  +1    13.31
orf00096    97305    98780  +3    12.12
orf00097    99213    99878  +3     9.47
orf00098    99859   101256  +1     9.31
orf00099   101259   101666  +3     9.01
orf00100   101663   102406  +2    12.01
orf00101   102410   102922  +2     7.55
orf00102   102990   103646  +3     4.53
orf00103   103957   104136  +1    10.39
orf00104   104268   104801  +3     9.72
orf00105   104969   105394  +2    10.47
orf00106   105572   106264  +2    14.10
orf00107   106497   106997  +3    12.03
orf00108   107065   107424  +1    14.75
orf00109   107499   108098  +3    10.20
orf00110   108391   111924  +1     9.15
orf00111   111962   115573  +2     8.34
orf00112   115687   115935  +1     6.06
orf00113   116050   116472  +1     8.29
orf00114   116502   116972  +3     9.25
orf00115   117180   119258  +3     9.37
orf00116   119376   120563  +3     9.67
orf00117   120962   121270  +2     8.36
orf00118   121305   121937  +3     8.39
orf00119   121963   122586  +1     9.02
orf00120   122586   122876  +3     8.78
orf00121   122905   123735  +1     8.08
orf00122   123796   124074  +1     6.85
orf00123   124092   124433  +3     8.78
orf00124   124437   125096  +3     9.77
orf00125   125098   125532  +1    10.20
orf00126   125522   125722  +2     8.96
orf00127   125743   126006  +1     4.35
orf00128   126050   126418  +2    11.28
orf00129   126457   126768  +1    10.67
orf00130   126795   127334  +3     9.17
orf00131   127368   127553  +3     3.81
orf00132   127583   127981  +2     9.26
orf00133   128014   128553  +1    11.13
orf00134   128585   128947  +2    10.91
orf00135   128969   129469  +2    11.82
orf00136   129483   129665  +3     9.00
orf00137   129699   130139  +3    13.40
orf00138   130139   131440  +2     6.62
orf00139   131497   132147  +1     8.76
orf00140   132183   132893  +3     5.50
orf00141   132962   133180  +2     9.00
orf00142   133216   133329  +1     7.59
orf00143   133351   133716  +1    11.82
orf00145   133741   134130  +1    13.47
orf00146   134311   135255  +1     9.33
orf00147   135291   135653  +3    11.19
orf00148   135757   136599  +1     8.97
orf00149   136575   137456  +3     8.62
orf00150   137444   138238  +2     5.08
orf00151   138238   138996  +1     5.20
orf00152   139149   139586  +3     9.19
orf00153   139608   140000  +3     9.98
orf00154   140163   140591  +3     6.94
orf00155   140658   141371  +3     9.71
orf00156   141516   142580  +3    12.08
orf00157   143254   142637  -2    11.37
orf00158   143394   144005  +3     4.82
orf00160   144874   144110  -2     3.81
orf00161   145045   145263  +1    11.07
orf00162   147655   147224  -2    12.84
orf00163   151247   151456  +2     8.55
orf00164   151407   152393  +3     9.65
orf00165   152603   153496  +2    13.01
orf00166   153745   154566  +1     5.64
orf00167   154559   156049  +2     6.06
orf00168   156042   157388  +3    13.39
orf00169   157874   159676  +2    11.72
orf00170   160040   160849  +2     3.43
orf00171   161256   161987  +3     5.24
orf00172   161980   162510  +1     5.74
orf00173   162514   163515  +1     5.23
orf00174   163635   164981  +3     8.91
orf00175   165246   166655  +3     7.54
orf00176   166998   168962  +3     4.28
orf00177   169081   169647  +1     7.03
orf00178   170225   169719  -3     6.62
orf00179   171380   170466  -3     6.65
orf00180   171871   171380  -2     5.72
orf00181   172974   172012  -1     5.19
orf00182   173312   172971  -3     4.43
orf00184   173725   173853  +1    14.18
orf00185   173893   174528  +1     9.71
orf00186   175234   174566  -2    10.07
orf00187   176249   175209  -3     6.93
orf00188   177074   176262  -3    12.76
orf00189   178262   177354  -3     6.96
orf00190   178408   179172  +1     9.98
orf00191   179284   180720  +1     8.55
orf00192   180717   181250  +3     6.07
orf00193   181329   183050  +3     9.62
orf00195   183232   184428  +1     7.73
orf00196   184679   185179  +2    13.51
orf00197   185411   185196  -3     3.74
orf00198   185820   186743  +3     8.06
orf00200   186760   187764  +1     8.66
orf00201   187721   188731  +2     7.40
orf00202   188728   189501  +1     8.18
orf00203   189515   191125  +2    11.54
orf00204   191609   191142  -3     9.68
orf00205   191781   192680  +3     8.65
orf00206   192753   192890  +3     1.46
orf00207   193023   193235  +3     4.87
orf00209   194920   193280  -2    10.63
orf00210   196948   195308  -2     8.00
orf00211   198173   197340  -3    11.81
orf00212   198936   198241  -1     7.81
orf00213   199166   199816  +2     5.28
orf00214   200735   199884  -3    11.10
orf00215   201711   201022  -1     5.46
orf00216   201962   201717  -3     6.61
orf00217   202522   201956  -2     7.80
orf00218   202684   203604  +1     7.84
